Coin,5m,15m,30m,1h,2h,4h,12h,1d
BTCUSDT,59.5,49.6,41.1,36.2,34.8,34.8,48.9,52.2
ETHUSDT,53.7,40.8,27.6,19.4,22,25,36.1,40.4
BNBUSDT,63.2,54.6,43.6,38.2,36.1,36.1,44.6,46.6
NEOUSDT,44.2,38.8,35.4,33.3,33.4,36.1,45.5,46.2
LTCUSDT,47.1,41.9,33.9,31.3,30.7,32,41.2,43.7
QTUMUSDT,47.3,41.8,34.1,33.3,30.7,32.5,43.4,44.7
ADAUSDT,50.8,45.4,38.9,33.9,32.9,31.4,40.5,43.9
XRPUSDT,50.1,50.4,48.4,47.7,49.9,51.1,60.9,64.9
EOSUSDT,55.6,43.5,36.2,34.3,36.9,37.8,44.6,45.1
IOTAUSDT,52.3,42.1,35.7,31.5,29.3,30.9,37.2,38.5
XLMUSDT,52.7,52.1,48.7,45.2,44.8,43.5,50.2,54
ONTUSDT,48.9,43,36.1,31.2,29.2,32.1,40.5,41
TRXUSDT,57.4,63.5,65.3,66.8,66.8,63.1,59.2,62.1
ETCUSDT,48.7,38.6,31.1,23.4,27.7,30.5,41.7,43
ICXUSDT,53.7,48.5,42.7,39.3,33.9,32.9,40.9,43.4
VETUSDT,43,42.2,36.5,29.9,27.9,25.6,35.2,42.3
LINKUSDT,40.7,40.2,33.2,28.6,30.5,27.2,39.6,42.6
ONGUSDT,44.9,38.5,33.1,28,28.3,33.6,41,43.7
HOTUSDT,58.4,53.8,45,35.2,31.9,31.3,38.1,39
ZILUSDT,50.1,46,39.6,34.7,33.9,32.7,38.5,40.8
ZRXUSDT,48.5,39.3,33.3,30.9,30.8,33.3,43.3,44.8
FETUSDT,63.3,57.3,50.9,39.9,33.5,29.2,38.1,40.3
BATUSDT,48.7,38.9,35.3,33.8,35.1,37.1,43.9,44.2
ZECUSDT,58,56.7,53.4,51.1,50.2,47,56.7,61.5
IOSTUSDT,46,42.8,39,34.3,30.9,30.2,36,37.3
CELRUSDT,56.7,47.4,38,31.5,33.1,31.8,38.8,34.5
DASHUSDT,32.5,32,32,26.3,29.1,31.3,42.5,45.5
THETAUSDT,47.1,44.1,39.1,35.7,31.3,33.1,42.1,42
ENJUSDT,46.6,46.4,40.7,36.1,33.3,33.3,40.6,40.1
MATICUSDT,58.5,48.6,39.5,34.6,35.4,35.5,41.4,40
ATOMUSDT,55.4,47.7,39.8,33.4,30.4,29.8,36.5,35.5
ONEUSDT,51.3,47.6,40.3,32.8,26.5,27.4,37.8,38.2
FTMUSDT,60.8,55.8,46.2,36.8,33.7,32.2,37.6,38.7
ALGOUSDT,51.5,47.2,40.3,33.3,29.3,26.4,34.8,39.8
DOGEUSDT,55.6,48.7,40.9,34.4,33.1,36.3,47.8,49
DUSKUSDT,50,52.4,47.6,39.5,32.3,27.9,34.3,35
ANKRUSDT,46,42.7,35.8,29.5,30.9,32.5,39.7,41.9
MTLUSDT,42,40.3,35.1,32,27,26.9,39,39.9
DENTUSDT,57.3,54.6,49.1,43.6,40.5,39.8,45.1,43.1
KEYUSDT,67,57,50.5,43.5,38.3,35.6,40.5,40.4
CHZUSDT,53.2,46.9,40.3,35,32.2,31.1,39,36.5
BANDUSDT,51.1,51.7,47.4,42.7,41.6,44,54.2,54.5
XTZUSDT,45.1,43.7,39.6,36.7,31.4,29,35.3,37.8
RENUSDT,48.9,40.8,34.6,27.3,26.1,26.8,40.8,41.6
RVNUSDT,56.9,48.4,38.8,32.1,30.5,30.2,39.6,38.5
HBARUSDT,57.1,54.1,46.3,38.6,35,30.3,35,35.9
NKNUSDT,57.8,49.7,43,37.7,34.9,32.3,37.7,38.5
STXUSDT,56.6,52.2,45.9,39.6,37.1,34.4,42.5,45.8
KAVAUSDT,52.7,46.1,38.7,33.6,30.3,30.5,36.9,35.3
ARPAUSDT,52.2,45.3,40.2,33.9,28,27.6,36.2,35.2
IOTXUSDT,49.2,43.7,39.8,37,34.1,28.6,44.4,47.6
RLCUSDT,59.8,51.5,43.7,35.5,29.2,27.4,33.8,35.2
BCHUSDT,52,47.1,39.6,35.2,32.5,31,38.6,40.9
OGNUSDT,52.7,46.6,38.7,34.1,31,32.8,40,38.9
LSKUSDT,49.9,44.7,39.2,34.2,31.5,31.7,40.9,41.9
BNTUSDT,46.7,37.7,27.5,25.7,24.6,26.1,37.7,39.8
COTIUSDT,55.6,51.2,48.9,49.1,51.4,55.3,61.6,58.6
SOLUSDT,48.9,42.5,39.5,39.5,40.3,42.7,55.2,57
CTSIUSDT,49.4,47.6,43,36.3,31.1,29.6,38.8,38.5
CHRUSDT,59.9,53.1,48.2,41.4,36.1,33.3,38.5,39.7
STMXUSDT,40.8,44.8,46.3,49.6,58,69.4,79.7,74.3
KNCUSDT,46.5,41.2,37.9,34.2,32.6,32.7,39.5,42.6
LRCUSDT,47.3,40.2,35.9,28.3,24.6,29.3,37.3,38.1
COMPUSDT,52.6,47.7,40.9,37.1,37.9,35.7,39.1,42.2
ZENUSDT,44.1,48.8,51,51.8,48.8,45.3,52.7,57.4
SNXUSDT,53,48.2,41.2,32.6,29.3,29.2,33.6,36.3
SXPUSDT,49.3,42.1,35,28.9,27.7,29,39.6,41.3
MKRUSDT,37.7,35.7,34.1,34.5,37.1,35.5,42.5,48.4
STORJUSDT,45.5,40.7,33.8,28.8,24.3,26.3,39,40.1
MANAUSDT,54.9,49.2,41.5,36.8,34,32.3,39.2,40.2
YFIUSDT,56.2,50.5,44.2,38.9,36.6,33.3,37.3,39
BALUSDT,47.4,38.8,29.8,25,32.4,36,40,38.5
BLZUSDT,60.1,55.3,50.7,45.8,40.1,35,39.3,39.3
CRVUSDT,50.2,50.7,45.4,39.3,37.1,34.8,38,38.4
SANDUSDT,51.9,45,36.9,33.1,30.2,30.7,38.8,39.6
NMRUSDT,55.7,50.2,42.3,34.4,30.9,32.7,39,35.8
DOTUSDT,68.1,63,53.4,43,38,33.3,37.3,40.4
RSRUSDT,52.5,44.7,39,33.1,33.7,32.1,41.4,43.4
TRBUSDT,58.1,50,45.1,40.7,36.9,32.5,36.2,36.8
SUSHIUSDT,56,51.9,45.9,39.8,37.8,33.8,37.3,37.1
KSMUSDT,58.2,54.2,46.3,38.7,35.3,32.6,37.6,37.1
EGLDUSDT,39.8,39.5,31.8,31.3,30.7,28.3,37.9,39.3
RUNEUSDT,40.1,36.1,29.6,28.9,31.1,36,48,50
UMAUSDT,47.2,41.9,37.2,31.5,32.2,33.2,42.4,42.9
BELUSDT,52.7,53.1,48.6,44.5,41.2,39.5,40.6,37.7
UNIUSDT,50.2,45.4,37.5,29.7,28.8,28.5,31.3,34.1
OXTUSDT,52.2,51.7,47,44.2,38.3,38.9,47.1,48.9
AVAXUSDT,55.1,44.6,36.9,31.4,31.4,34.5,44.1,46.4
FLMUSDT,57.1,52,43.4,37.2,33.8,33.3,41.7,43.6
